,tweet,likes,date_posted
0,"RT @adamblaizelives: @Ap3Journalism @TheUnitedWay99 @ManUnitedZone_ 

Big thanks to Adam Perry for including me in his short documentary.…",0,2021-07-26 16:37:07
1,"A special thank you to @adamblaizelives, @dominictaylor6_, @JacobRanson27 and @MAAjournalism for the interviews!… https://t.co/9azbYxFYEh",5,2021-07-26 16:31:25
2,"@Ap3Journalism @TheUnitedWay99 @ManUnitedZone_ 

Big thanks to Adam Perry for including me in his short documentary… https://t.co/w7jDZPnnGN",2,2021-07-26 09:05:21
3,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 22:04:29
4,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 19:20:56
5,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 18:12:40
6,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 17:58:45
7,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 17:36:50
8,"RT @SathyRoksana: Be Confident to complete your Responsibility .
😇😇😇
#DogeDay420 
#Digital #Advertising #agency 
#dcvspbks 
#europeansuperl…",0,2021-07-25 17:30:30
9,@jimwaterson @BBC @Olympics I don’t disagree. Of course that’s a matter for the @iocmedia. It’s the continuation of… https://t.co/D01M6IT2RG,2,2021-07-25 16:20:35
10,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 16:02:16
11,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 15:19:07
12,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 15:13:01
13,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 15:05:13
14,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 14:36:40
15,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 14:27:29
16,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:43:55
17,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:43:29
18,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:37:07
19,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:35:44
20,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:28:22
21,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:25:48
22,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:17:00
23,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:15:15
24,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 13:12:48
25,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:45:59
26,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:39:04
27,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:35:54
28,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:35:01
29,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:32:09
30,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:32:00
31,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:17:41
32,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:06:56
33,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:02:44
34,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:02:37
35,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 12:00:32
36,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:57:29
37,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:56:56
38,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:56:03
39,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:51:19
40,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:51:09
41,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:42:25
42,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:40:22
43,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:39:50
44,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:38:24
45,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:38:11
46,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:31:58
47,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:17:50
48,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:13:53
49,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:12:15
50,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:10:27
51,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:10:02
52,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:08:17
53,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:04:49
54,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:02:49
55,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 11:01:36
56,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 10:59:23
57,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 10:59:03
58,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 10:54:51
59,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 10:53:53
60,"RT @org_scp: What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bring it down.…",0,2021-07-25 10:51:10
61,"What a difference three months makes, since the furore against the #europeansuperleague where fans mobilised to bri… https://t.co/HAZFnNP4Pa",182,2021-07-25 10:50:10
62,I have to say those American #EuropeanSuperLeague naysayers are real quiet right now,0,2021-07-23 22:22:09
63,RT @PaulGallant11: Many months ago 6 teams agreed to pay a fine #europeansuperleague break away one point here £3 Million fine was a slap o…,0,2021-07-23 17:55:39
64,"RT @eCorky_: Leather Waterproof Sports Shoes | Non-slip Breathable Deodorant Shoe
€ 26.99
Buy Now: https://t.co/9tSM1jRUaX
#leather #men #e…",0,2021-07-23 17:23:08
65,RT @davidpalmer2009: Still waiting for the ESL punishment to the Premier League clubs.. @manutd using the fine money to buy Sancho instead.…,0,2021-07-23 13:48:34
