,tweet,likes,date_posted,id
0,I wonder how fans of the six English clubs that tried to start the European Super League will react to what has now… https://t.co/lnZNgPRfiL,0,2021-07-30 21:00:23,1421214110558179328
1,"European Super League: Barcelona, Real Madrid and Juventus 'will continue with plans'. #EuropeanSuperLeague… https://t.co/cudVloc6Cs",0,2021-07-30 20:29:05,1421206233810448394
2,"Told you, it wasn't going away. Do you really think football is for the fans? It's ALWAYS been about money (even mo… https://t.co/FhuSJ6jZQn",0,2021-07-30 20:24:41,1421205126803505155
3,"#SuperLeague. This is going to happen, eventually. Just like somethings in life, fans will come around to accept th… https://t.co/s7nWm8uc4j",0,2021-07-30 20:22:30,1421204576938741767
4,"The problem with the battle between #UEFA and the #europeansuperleague, is that no side is the good guy!!… https://t.co/mQREv7GFAv",1,2021-07-30 20:08:18,1421201001542045697
5,"Barcelona, Real Madrid and Juventus say they will continue with plans for a #EuropeanSuperLeague, claiming to have… https://t.co/fDx8dVkAR1",1,2021-07-30 19:43:23,1421194731367899136
6,So a Spanish court found in favour of the 2 leading Spanish clubs. Yep seems right. Nothing to see there. #europeansuperleague,5,2021-07-30 19:42:54,1421194610496389131
7,"HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAH
Ceferin shhhhh 🤫 @UEFA @UEFAcom… https://t.co/cgEGrtWjIc",0,2021-07-30 19:35:15,1421192684857876493
8,"RT @KhelNowWF: #BREAKING: @realmadrid, @FCBarcelona and @juventusfc release joint statement welcoming CAS' decision asking UEFA to revoke a…",0,2021-07-30 19:23:18,1421189678636490752
9,"@UEFAcom kick them out of all European competitions. Don't need them. #EuropeanSuperLeague: Barcelona, Real Madrid… https://t.co/U6ORLxMByR",0,2021-07-30 18:42:26,1421179393691553795
10,"It's really sad to see @FCBarcelona, @realmadrid &amp; @juventusfc are continuing with this desperately #selfish &amp;… https://t.co/gilxIKrvul",0,2021-07-30 18:34:58,1421177515071188995
11,"@Jeep @emirates @RakutenJP enemies of football, sponsoring those whose own profit is more important than the game.… https://t.co/M1NJsMsg0F",0,2021-07-30 18:21:31,1421174131639345157
12,Ηοw do you feel supporting a team that only cares for money? @realmadriden @FCBarcelona @juventusfcen Only brainles… https://t.co/4ewuYMHS3c,1,2021-07-30 17:22:06,1421159178224156672
13,"The #EuropeanSuperLeague project isn't dead yet: 
We are pleased that going forward we will no longer be subject to… https://t.co/Izsi10ktG4",0,2021-07-30 17:19:41,1421158567730614274
14,"RT @KhelNowWF: #BREAKING: @realmadrid, @FCBarcelona and @juventusfc release joint statement welcoming CAS' decision asking UEFA to revoke a…",0,2021-07-30 17:10:38,1421156290126958592
15,"#BREAKING: @realmadrid, @FCBarcelona and @juventusfc release joint statement welcoming CAS' decision asking UEFA to… https://t.co/xB7dRE6D9r",19,2021-07-30 17:06:39,1421155288179044352
16,This Isn’t over and as soon as the other 9 clubs feel it’s achievable they will be straight back in. The lot of the… https://t.co/r9Tf3GZ32X,0,2021-07-30 16:48:32,1421150728568164352
17,Statement on the #EuropeanSuperLeague by #FCBarcelona ……  https://t.co/Y0BihGaHiE,0,2021-07-30 16:42:38,1421149244459786246
18,"#SuperLeague #ESL #EuropeanSuperLeague #Football 
Oh no... https://t.co/6YAKd8jjlF",0,2021-07-30 16:14:07,1421142069951750146
19,Just when you thought the #EuropeanSuperLeague was over..... https://t.co/W5gIpyUGF8,0,2021-07-30 16:06:35,1421140171957878786
20,"RT @Gerrykeogh2002: Arsenal, Chelsea, Liverpool, Man City, Man Utd and Spurs.
Now realising the European Super League is going to Happen af…",0,2021-07-30 15:51:42,1421136427333660676
21,"RT @Gerrykeogh2002: Arsenal, Chelsea, Liverpool, Man City, Man Utd and Spurs.
Now realising the European Super League is going to Happen af…",0,2021-07-30 15:50:30,1421136126795034637
22,"Arsenal, Chelsea, Liverpool, Man City, Man Utd and Spurs.
Now realising the European Super League is going to Happe… https://t.co/JTDAiS4bGP",2,2021-07-30 15:50:03,1421136013926207488
23,"The #europeansuperleague didn’t happen because “football is for the fans”. If the fans act with hatred, penalize th… https://t.co/IVOuVZkKXE",0,2021-07-30 04:18:52,1420962072133869571
