,tweet,likes,date_posted
0,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 22:51:32
1,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 22:34:57
2,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 21:56:26
3,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 21:52:35
4,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 20:40:30
5,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 20:21:18
6,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 20:12:42
7,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 19:43:45
8,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 19:29:51
9,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 19:26:58
10,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 18:55:52
11,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 18:52:38
12,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 18:43:20
13,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 18:07:19
14,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 17:36:57
15,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 17:28:57
16,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 17:26:57
17,RT @org_scp: 🚨 We call on @SpursOfficial #COYS fans &amp; indeed all football supporters to help bring this nonsense to an end in the same way…,0,2021-07-27 17:18:48
