,tweet,likes,date
0,"RT @YanitedAlways: 100 days today since the European Super League collapsed. 

You’ll never beat us football fans.",0,2021-07-27 23:44:03
1,"RT @YanitedAlways: 100 days today since the European Super League collapsed. 

You’ll never beat us football fans.",0,2021-07-27 23:41:17
2,"100 days today since the European Super League collapsed. 

You’ll never beat us football fans.",15,2021-07-27 23:33:54
3,"RT @MayowaQuadri_: I knew something was up when Florentino Pérez was trying to convince everyone to join the European Super League. 

You w…",0,2021-07-27 23:23:38
4,"RT @MayowaQuadri_: I knew something was up when Florentino Pérez was trying to convince everyone to join the European Super League. 

You w…",0,2021-07-27 23:23:09
5,RT @TheoPaphitis4: @lufc_jake14 @PoliticsForAlI @Ground_app Burnley and Leeds sign agreement to stop European super league.,0,2021-07-27 23:22:35
6,"RT @IPreserver: Here we go... EU Digital Covid Certificate. 

Let’s see if there’s as much outrage over this as there was over the silly Eu…",0,2021-07-27 23:10:29
7,RT @UtdDistrict: 🗞 #mufc are finalising plans for a new fan advisory board as part of the Glazer family’s bid to improve relations between…,0,2021-07-27 23:04:31
8,No wonder Florentino Perez and other goons wanted the European Super league to happen so badly. I also wanted it to… https://t.co/1xsqlg2Huf,0,2021-07-27 23:00:42
9,"RT @MayowaQuadri_: I knew something was up when Florentino Pérez was trying to convince everyone to join the European Super League. 

You w…",0,2021-07-27 22:32:15
10,I knew something was up when Florentino Pérez was trying to convince everyone to join the European Super League.… https://t.co/rUALsWAnu7,23,2021-07-27 22:30:17
11,@theMadridZone @ElTransistorOC From European Super League Elites to Sunday League Pimps #RealMadrid #rmalive,0,2021-07-27 22:23:47
12,"RT @VidsVilla: @SoccerAM 🤮 Looks like Sky Sports are promoting the ideals of the ""European Super League"", which they were against months ag…",0,2021-07-27 21:45:28
13,"@SoccerAM 🤮 Looks like Sky Sports are promoting the ideals of the ""European Super League"", which they were against… https://t.co/6pK2rmuuAX",2,2021-07-27 21:40:07
14,@TyBracey Here's what happened Ty  https://t.co/kB3NK6yjJ3,0,2021-07-27 21:35:39
15,@realmadrid @raphaelvarane @LigadeCampeones @LaLiga Wish Madrid the best of luck in this year’s European Super League 👍,0,2021-07-27 21:35:11
16,"RT @IPreserver: Here we go... EU Digital Covid Certificate. 

Let’s see if there’s as much outrage over this as there was over the silly Eu…",0,2021-07-27 21:21:54
17,"RT @IPreserver: Here we go... EU Digital Covid Certificate. 

Let’s see if there’s as much outrage over this as there was over the silly Eu…",0,2021-07-27 21:12:12
18,"RT @IPreserver: Here we go... EU Digital Covid Certificate. 

Let’s see if there’s as much outrage over this as there was over the silly Eu…",0,2021-07-27 20:49:42
19,Normally at this time of the season I’d be loving the new signings and preordering shirts but the European Super Le… https://t.co/ODx6rZjb25,0,2021-07-27 20:44:57
20,So all of you who didn't support your club in the European Super League saga are now seeing the consequences of you… https://t.co/sTh5huptV8,0,2021-07-27 20:40:42
21,@thegrant_ksu gonna go back and read European Super League Twitter :'(,1,2021-07-27 20:40:41
22,"RT @IPreserver: Here we go... EU Digital Covid Certificate. 

Let’s see if there’s as much outrage over this as there was over the silly Eu…",0,2021-07-27 20:14:05
23,"RT @IPreserver: Here we go... EU Digital Covid Certificate. 

Let’s see if there’s as much outrage over this as there was over the silly Eu…",0,2021-07-27 20:04:52
24,"Here we go... EU Digital Covid Certificate. 

Let’s see if there’s as much outrage over this as there was over the… https://t.co/NrD6hAONs1",7,2021-07-27 20:03:31
